"19/233 Cuba Street, Te Aro, Wellington"
"348A The Terrace, Te Aro, Wellington"
"20/233 Cuba Street, Te Aro, Wellington"
"21/233 Cuba Street, Te Aro, Wellington"
"22/233 Cuba Street, Te Aro, Wellington"
"23/233 Cuba Street, Te Aro, Wellington"
"24/233 Cuba Street, Te Aro, Wellington"
"18 Turnbull Street, Thorndon, Wellington"
"25/233 Cuba Street, Te Aro, Wellington"
"34/233 Cuba Street, Te Aro, Wellington"
"35/233 Cuba Street, Te Aro, Wellington"
"36/233 Cuba Street, Te Aro, Wellington"
"37/233 Cuba Street, Te Aro, Wellington"
"505/46 Nairn Street, Mount Cook, Wellington"
"2 Kent Terrace, Mount Victoria, Wellington"
"38/233 Cuba Street, Te Aro, Wellington"
"513/46 Nairn Street, Mount Cook, Wellington"
"52/70 Hobson Street, Thorndon, Wellington"
"39/233 Cuba Street, Te Aro, Wellington"
"801/46 Nairn Street, Mount Cook, Wellington"
"119 Adelaide Road, Mount Cook, Wellington"
"40/233 Cuba Street, Te Aro, Wellington"
"806/46 Nairn Street, Mount Cook, Wellington"
"41/233 Cuba Street, Te Aro, Wellington"
"811/46 Nairn Street, Mount Cook, Wellington"
"82B Tinakori Road, Thorndon, Wellington"
"7 Hospital Road, Newtown, Wellington"
"42/233 Cuba Street, Te Aro, Wellington"
"2 Dixon Street, Te Aro, Wellington"
"3B Walter Street, Te Aro, Wellington"
"43/233 Cuba Street, Te Aro, Wellington"
"3C Walter Street, Te Aro, Wellington"
"44/233 Cuba Street, Te Aro, Wellington"
"3O Walter Street, Te Aro, Wellington"
"45/233 Cuba Street, Te Aro, Wellington"
"3P Walter Street, Te Aro, Wellington"
"46/233 Cuba Street, Te Aro, Wellington"
"3S Walter Street, Te Aro, Wellington"
"47/233 Cuba Street, Te Aro, Wellington"
"350 The Terrace, Te Aro, Wellington"
"3W Walter Street, Te Aro, Wellington"
"48/233 Cuba Street, Te Aro, Wellington"
"115 Manners Street, Te Aro, Wellington"
"22 Wigan Street, Te Aro, Wellington"
"3Y Walter Street, Te Aro, Wellington"
"49/233 Cuba Street, Te Aro, Wellington"
"383/233 Cuba Street, Te Aro, Wellington"
"385/233 Cuba Street, Te Aro, Wellington"
"386/233 Cuba Street, Te Aro, Wellington"
"387/233 Cuba Street, Te Aro, Wellington"
"388/233 Cuba Street, Te Aro, Wellington"
"57 Vivian Street, Te Aro, Wellington"
